Povesti;Mihai Eminescu,Ion Caragiale,Ion Creanga;1973;Corint;povesti,povestiri
Poezii;Sadoveanu;1973;Corint;poezii
Enigma Otiliei;George Calinescu;1948;Litera;enigma,otilia
Dale carnavalului;Caragiale Ion;1948;Litera;caragiale,carnaval
Intampinarea crailor;Mateiu Caragiale;1948;Litera;mateiu,crailor
Test;Calinescu,Tetica;1992;Pipa;am,casa
Povesti;Mihai Eminescu,Ion Caragiale,Ion Creanga,Tudor;1990;Corint;povesti,povestiri
Carte;Bogdan;2019;Litera;mere
Bunica;Ionela;2019;Litera;mere
Carticica;Ion,Marcel;2000;Editura;da,nu,bine
Carte;Ana;2019;Litera;mere
Carte Noua;Lidia,Teo;2003;Litera;nu
Nou;ana;2000;Litera;da
Nouuu;ana;2000;itera;da,nu,bine
Titluu;Ana,Ioana,Bogdan;2000;Litera;nu
Carticica;Autor1,Autor2;2001;Editura Litera;cuvant1,cuvant2
Carticica;Autor1,Autor2;2001;Editura Litera;cuvant1,cuvant2
Carticica;Autor1,Autor2;2001;Editura Litera;cuvant1,cuvant2
Carticica2;Autor1,Autor2;2001;Editura Litera;cuvant1,cuvant2
Carticica;Autor1,Autor2;2001;Editura Litera;cuvant1,cuvant2
;Autor1,Autor2;2001;Editura Litera;cuvant1,cuvant2
Carticica;Autor unu,Autor doi;2001;Editura Litera;da,nu
Carticica;Autor unu,Autor doi;2001;Editura Litera;da,nu
Carticica;Autor unu,Autor doi;2001;Editura Litera;da,nu
Carticica;Autor unu,Autor doi;2001;Editura Litera;da,nu
Carticica;Autor unu,Autor doi;2001;Editura Litera;da,nu
Carticica;Autor unu,Autor doi;2001;Editura Litera;da,nu
Carticica mica;Autor unu,Autor doi;2001;Editura Litera;da,nu
Carticica;Autor unu,Autor doi;2001;Editura Litera;da,nu
Carte;AutorUnu,AutorDoi;2013;EdituraUnu;da,nu
Carte;AutorUnu,AutorDoi;2013;EdituraUnu;da,nu
Carte;AutorUnu,AutorDoi;2013;EdituraUnu;da,nu
Carte;AutorUnu,AutorDoi;2013;EdituraUnu;da,nu
Titlu Carte;AutorCinci,AutorSase;9;EdituraPatru;da,nu
Carte;AutorUnu,AutorDoi;2013;EdituraUnu;da,nu
Titlu Carte;AutorCinci,AutorSase;9;EdituraPatru;da,nu
